title,description,genre,published_date,authors
the psychology of time travel,perfect for fans of naomi aldermans the power and margot lee shetterlys hidden figures comes the psychology of time travel a mindbending timetravel debut in 1967 four female scientists worked together to build the worlds first time machine but just as they are about to debut their creation one of them suffers a breakdown putting the whole projectand future of time travelin jeopardy to protect their invention one member is exiled from the teamerasing her contributions from history fifty years later time travel is a big business twentysomething ruby rebello knows her beloved grandmother granny bee was one of the pioneers though no one will tell her more but when bee receives a mysterious newspaper clipping from the future reporting the murder of an unidentified woman ruby becomes obsessed could it be bee who would want her dead and most importantly of all can her murder be stopped traversing the decades and told from alternating perspectives the psychology of time travel introduces a fabulous new voice in fiction and a new mustread for fans of speculative fiction and womens fiction alike,science fiction,2019,kate mascarenhas
surreal entanglements,this edited collection approaches the most pressing discourses of the anthropocene and posthumanist culture through the surreal yet instructive lens of jeff vandermeers fiction in contrast to universalist and essentializing ways of responding to new material realities vandermeers work invites us to reimagine human subjectivity and other collectivities in the light of historically unique entanglements we face today the ecological technological aesthetic epistemological and political challenges of life in the anthropocene era situating these messy multiscalar material complexities of life in close relation to their ecological material and colonialist histories his fiction renders them at once troublingly familiar and strangely generative of other potentialities and insight the collection measures vandermeers work as a new kind of speculative surrealism his texts capturing the strangeness of navigating a world in which nature has become radically uncanny due to global climate change and powerful biotechnologies the first collection to survey academic engagements with vandermeer this book brings together scholars in the fields of environmental literature science fiction genre studies american literary history philosophy of technology and digital cultures to reflect on the environmentally culturally aesthetically and politically central questions his fiction poses to predominant understandings of the anthropocene,science fiction,2021,louise economides laura shackelford
in the field,a selected title of the national book foundation and the alfred b sloan foundations science  literature program brilliant terribly stubborn and illsuited to the expectations of the period kate croft has shattered her widowed mothers traditional hopes for her in favor of higher education rejecting domestic pressures she has cleaved out an alternative channel for herself one that deprioritizes marriage and children more subversive still are the complexities of her sexuality her pursuit of queer relationships in an intensely heteronormative era most notably though she has taken a hammer to her field making debris of its governing premises and challenging the very fundamentals of evolutionary theory spanning nearly sixty years we follow kate from her first introductory biology course at cornell to her receipt of the prize a journey ridden with obstacles kates scientific medium maize is unglamorous and undervalued in academia her research is so visionary that it alienates her peers who are unable to grasp its complex implications subject to both implicit and explicit sexism kate finds herself perpetually on the defensive struggling to distinguish between those who care for her and those who wish to oppress her a dynamic that traps even her longtime friendships in a state of precarity she struggles to straddle the chasm between the physical field where her corn grows her oasis and the corresponding professional field beleaguered by bias and petty politics,science fiction,2022,rachel pastan
nation and region in modern american and european fiction,in his book nation and region in modern american and european fiction thomas o beebee analyzes fictional texts as a discursive territoriality that shape readers notions of and ambivalence about national and regional belonging several canonical works of literary fiction have provided their readers with verbal maps that in their depictions of boundary spaces construct indirect images of national territory and geography beebee analyzes the historical and cultural diversity in johann wolfgang von goethes nikolai gogols and ivan turgenevs competing geographies of russia and its empire euclides da cunhas ambivalent nomination of the sertanejo backlander as the bedrock of the brazilian race william faulkners and jose lins do regos cultural memories of the plantation jose maria arguedass novelistic ethnogeographies of andean culture juan benets construction of region as both metaphor and metonym for francoist spain and the utopian north american us and canada desert landscapes of mary austin nicole brossard and joy harjo,science fiction,2008,thomas o beebee
the skeptics guide to the future,from the bestselling authors and hosts of the skeptics guide to the universe a hightech roadmap of the future in their beloved voice cracking open the follies of futurists past and how technology will profoundly change our world redefining what it means to be human our predictions of the future are a wild fantasy inextricably linked to our present hopes and fears biases and ignorance whether they be the outlandish leaps predicted in the 1920s like multipurpose utility belts with climate control capabilities and planes the size of luxury cruise ships or the forecasts of the 60s which didnt anticipate the sexual revolution or womens liberation the path to the present is littered with failed predictions and incorrect estimations the best we can do is try to absorb the lessons from futurisms checkered past perhaps learning to do a little better in the skeptics guide to the future steven novella and his coauthors build upon the work of futurists of the past by examining what they got right what they got wrong and how they came to those conclusions by exploring the pitfalls of each era they give their own speculations about the distant future transformed by unbelievable technology ranging from genetic manipulation to artificial intelligence and quantum computing applying their trademark skepticism they carefully extrapolate upon each scientific development leaving no stone unturned as they lay out a vision for the future,science fiction,2022,dr steven novella
trents last case,a powerful and ruthless american capitalist is found dead in the garden of his english country house but why is he not wearing his false teeth why is his young widow so relieved at his death the artist and amateur detective philip trent arrives to find that there is more to the case than the solving of a puzzle he must also accept his own fallibility in detection and in romance,science fiction,1995,edmund clerihew bentley
ecosickness in contemporary us fiction,the 1970s brought a new understanding of the biological and intellectual impact of environmental crises on human beings and as efforts to prevent ecological and human degradation aligned a new literature of sickness emerged ecosickness fiction imaginatively rethinks the link between ecological and bodily endangerment and uses affect and the sick body to bring readers to environmental consciousness tracing the development of ecosickness through a compelling archive of modern us novels and memoirs this study demonstrates the modes crucial role in shaping thematic content and formal and affective literary strategies examining works by david foster wallace richard powers leslie marmon silko marge piercy jan zita grover and david wojnarowicz heather houser shows how these authors unite experiences of environmental and somatic damage through narrative affects that draw attention to ecological phenomena organize perception and convert knowledge into ethics traversing contemporary cultural studies ecocriticism affect studies and literature and medicine houser juxtaposes ecosickness fiction against new forms of environmentalism and technoscientific innovations such as regenerative medicine and alternative ecosystems ecosickness in contemporary us fiction recasts recent narrative as a laboratory in which affective and perceptual changes both support and challenge political projects,science fiction,2014,heather houser
steam meets story,this innovative steam guide will help general and special education teachers to increase effective instruction with adolescents grades 510 the authors show teachers how to link stem concepts with popular fiction and film selections as a catalyst to launch student interactions discussions projects and investigations this approach will promote problem solving and reasoning skills by initiating the scientific process rather than simply presenting established facts the book includes a wealth of lesson plans that connect abstract stem ideas to realistic experiences that students encounter sample lessons call on students to produce drawings and models that move stem to steam grounded in popular film and some of the mostread young adult books the text includes teaching strategies found to be effective with traditionally underserved students and those with disabilities book features standardsbased stem lessons interrelated and interwoven with writing reading speaking and other skills practical ideas and handson activities for engaging adolescents in both traditional and virtual environments guidance for working with diverse populations such as students with different abilities culturally and linguistically diverse students translingual students and transnational students templates handouts and lessons linked to star wars the giver the immortal life of henrietta lacks harry potter to kill a mockingbird star trek the matrix holes and more,science fiction,2021,gloria d campbellwhatley diane rodríguez jugnu agrawal
world views,world views examines literary representations of spatial form within the contexts of the emerging disciplines of geography geopolitics and international relations positing that modernisms experimental engagements with space intended to imagine alternatives to the new world order,science fiction,2012,jon hegglund
the octopus,excerpt from the octopus or the devilfish of fiction and of fact i am indebted to my friend mr thomas davidson c for the beautiful portrait of the octopus which forms the frontispiece to this volume to mrs edward harris for the drawing of its eggs fig to miss gertrude woodward for that of its tongue fig 4 and to messrs west and co and mr charles a ferrier for the care they have respectively bestowed on the lithographing and engraving of the illustrations about the publisher forgotten books publishes hundreds of thousands of rare and classic books find more at wwwforgottenbookscom this book is a reproduction of an important historical work forgotten books uses stateoftheart technology to digitally reconstruct the work preserving the original format whilst repairing imperfections present in the aged copy in rare cases an imperfection in the original such as a blemish or missing page may be replicated in our edition we do however repair the vast majority of imperfections successfully any imperfections that remain are intentionally left to preserve the state of such historical works,science fiction,2018,henry lee
the brothers vonnegut,while kurt writes press releases by day and labors over short stories by night bernard builds silver iodide generators and sends planes to bomb cloud banks with dry ice these experiments dubbed project cirrus soon attract the attention of military menmaybe weather will even become the new superweapon but as evidence mounts that project cirrus is causing alarming changes in the atmosphere bernard begins to have misgivings about the harmful uses of his inventions and kurt starts writing a new kind of story depicting scientists grappling with moral questions and with fantastic inventions gone awry set against a backdrop of atomic anxiety and the dawn of the digital age the brothers vonnegut is a wild collision of science and literature,science fiction,2015,ginger strand
beautiful chaos,explores the way chaos theory is incorporated in the work of such writers as toni morrison thomas pynchon john barth don delillo and michael crichton,science fiction,2000,gordon e slethaug professor gordon e slethaug phd
perfect pairs,a teachers guide to using fiction and nonfiction picture books to teach life sciences,science fiction,2014,melissa stewart nancy chesley
dear reader,ready now reader easy then that should put you in the right historical frame of mind put you in mind of the right historical frame for it did seem easier then certainly more relaxed like the addressed and otherwise rendered nineteenthcentury reader who is my subject of study you are invited to take it slow while we back our way into the last century we do so by moving from an unexpected modernist sendup of victorian direct address an early twist of phrase in e m forsters 1907 the longest journey to the underlying aesthetic of classic realism on which even this one rhetorical irony is by no means intended to pull the plug on the way back to the nineteenth century certain realist assumptions help mark out our coursefrom dear reader with the great tradition from austen through dickens and eliot to hardy read here for the first time alongside the noncanonical bestsellers of the period we get a revised picture of an evolving readership narrated rather than merely implied the mass audience conscripted written with figured in redirecting response aesthetics away from the a priori reader function toward this reader figure garrett stewarts dear reader intercepts two tendencies in the recent criticism of fiction the blanket audience determinations of ideological critique and the thinness of historicizing discourse analysis when divorced from literary historys own discursive field,science fiction,1996,garrett stewart james o freedman professor of letters university of iowa garrett stewart
the invisible man and the island of dr moreau a readers library classic hardcover,two of h g wellss most famous novels in one book  the invisible man and the island of dr moreau,science fiction,2021,h g wells
the new martians,the year is 2035 and the crew from the first expedition to mars is returning to earth the crewmembers are anxious to get home and ennui pervades the ship the mood is broken by a series of mysterious events that jeopardize their safety someone or something is threatening the crew is it an alien being a psychotic crewmember a malfunctioning computer the truth raises questions about the crewmembers fate and that of the human racein this novel the intent is to show real psychological issues that could affect a crew returning from a longduration mission to mars the storyline presents a mystery that keeps the reader guessing yet the issues at stake are based on the findings from the authors research and other spacerelated work over the past 40 years the novel touches on actual plans being discussed for such an expedition as well as notions involving the search for martian life and panspermiathe underlying science in particular the psychological psychiatric and interpersonal elements are introduced and discussed by the author in an extensive appendixnick kanas is an emeritus professor of psychiatry at the university of california san francisco where he directed the group therapy training program for over 20 years he conducted research on group therapy and for nearly 20 years after that he was the principal investigator of nasafunded research on astronauts and cosmonauts he is the coauthor of space psychology and psychiatry which won the 2004 international academy of astronautics life science book award and the author of humans in space the psychological hurdles which won the 2016 international academy of astronautics life science book award dr kanas has presented talks on space psychology and on celestial mapping at several regional and worldcon science fiction conventions a fellow of the royal astronomical society london he has been an amateur astronomer for over 50 years and is an avid reader of science fiction he is also the author of two nonfiction books star maps history artistry and cartography and solar system maps from antiquity to the space age and two science fiction novels the new martians andthe protos mandate all published by springer,science fiction,2013,nick kanas
recontextualizing texts,offering the first systematic examination of five modern japanese fictional narratives all of them available in english translations atsuko sakaki explores natsume sōsekis kokoro and the threecornered world ibuse masujis black rain mori ōgais wild geese and tanizaki junichirōs quicksand,science fiction,1999,atsuko sakaki
science medicine and aristocratic lineage in victorian popular fiction,science medicine and aristocratic lineage in victorian popular fiction explores the dialogue between popular literature and medical and scientific discourse in terms of how they represent the highly visible an pathologized british aristocratic body this books explores and complicates the two major portrayals of aristocrats in nineteenthcentury literature that of the medicalised frail debauched and diseased aristocrat and that of the heroic active beautiful noble both of which are frequent and resonant in popular fiction of the long nineteenth century abigail boucher argues that the concept of class in the long nineteenth century implicitly includes notions of blood lineage and bodily correctness and that class was therefore frequently portrayed as an empirical scientific and medical certainty due to their elevated and highly visual social positions both historical and fictional aristocrats were frequently pathologized in the public mind and watched for signs of physical excellence or deviance using popular fiction boucher establishes patterns across decades genres and demographics and considers how these patterns react to normalise or feed into the advent of new scientific and medical understandings,science fiction,2023,abigail boucher
about time,about time aims to bring about a productive exchange between narratology social theory and the philosophy of time in order to address a need in the humanities for an analysis of temporal structures and representations of time,science fiction,2010,mark currie
prophets of the posthuman,prophets of the posthuman provides a fresh and original reading of fictional narratives that raise the question of what it means to be human in the face of rapidly developing bioenhancement technologies christina bieber lake argues that works by nathaniel hawthorne walker percy flannery oconnor toni morrison george saunders marilynne robinson raymond carver james tiptree jr and margaret atwood must be reevaluated in light of their contributions to larger ethical questions drawing on a wide range of sources in philosophical and theological ethics lake claims that these writers share a commitment to maintaining a category of personhood more meaningful than that allowed by utilitarian ethics prophets of the posthuman insists that because technology can never ask whether we should do something that we have the power to do literature must step into that role each of the chapters of this interdisciplinary study sets up a typical ethical scenario regarding human enhancement technology and then illustrates how a work of fiction uniquely speaks to that scenario exposing a realm of human motivations that might otherwise be overlooked or simplified through the vision of the writers she discusses lake uncovers a deep critique of the ascendancy of personal autonomy as americas most cherished value this ascendancy coupled with technologys glamorous promises of happiness helps to shape a utilitarian view of persons that makes responsible ethical behavior toward one another almost impossible prophets of the posthuman charts the essential role that literature must play in the continuing conversation of what it means to be human in a posthuman world,science fiction,2013,christina bieber lake
time travel,fact or fiction real or impossible movement through time explored explained and examined albert einsteins theory of relativity postulates and scientists have proven that the faster you travel the slower time moves clocks on airplanes satellites and rockets are slower than clocks on earth and time travel is indeed real can time machines timetunnel wormholes or tales of fictional timetraveling heroes be so farfetched covering the history of time travel in both reality and fiction time travel the science and sciencefiction investigates the long history myths science and stories of movement from the present to the past and into the future timely in its telling time travel chronicles more than 30 instances accounts stories and famous examples of time slips such as  the theory of relativity showing the link between time and space hg wells epic novel of 1895 the time machine british physicist stephen hawkings famous paradoxes surrounding time travel charlton hestons character taylor in the planet of the apes discovering that he is home 2000 years in the future wormholes the shortcuts through both space and time and many more the idea of time travel fascinates because it offers the possibility however remote of revisiting and recapturing moments from our youth and if travelers of the future have secretly visited uswell that proves that our future is secure stories of time travel abound in books and film and its been a source of endless fascinationand speculationsurrounding ufo sightings and conspiracy theories this richly researched reference ripples with fascinating information with more than 120 photos and graphics this tome is nicely illustrated time travel also includes a helpful bibliography and an extensive index adding to its usefulness time will fly by as you ponder the possibilities dont hesitate theres no time like the present get your copy today the future is waiting,science fiction,2021,visible ink press
biopolitical futures in twentyfirstcentury speculative fiction,a theorization of how the bioeconomy and biotechnology remake life itself creating crises in ethics and governance,science fiction,2021,sherryl vint
citizen science fiction,citizen science fiction draws on an interdisciplinary swath of literature and media to make the case that the science fiction genre can help rethink the pedagogical use of citizen science as a tool to interrogate our collective civic engagement with science and the incorporation of science into a rigorous exciting writingbased curriculum the book revolves around recent developments in specific scientific disciplines including biology ecology computer science astronomy and cognitive science winter closely studies a range of sciencefiction texts and tropes  such as aliens robots clones mind uploads galactic empires  for what they have to contribute to the ongoing scholarly discussion on psychological mindset and mindful argument reading for probing inquiry and productive uncertainty in the age of the anthropocene reading for voice with a view to our digitally dominated future and reading for threshold concepts in a scientifically driven society,science fiction,2021,jerome winter
the caloris network,the year is 2130 the firstever expedition is sent to mercury to search for the cause of an unknown source of electromagnetic radiation that can destroy space ships passing by the planet thought to be inhospitable and lifeless the surface of mercury provides startling surprises for the crew that endanger their lives and challenge their established notions of what it means to be a sentient being and some of the crew members have their own separate agendas the scientific appendix at the end of the book introduces readers to the wondrous world of mercury and how it has been portrayed in literary fiction up to the present time the author then uses scientific literature to present a concept of life that is not based on carbon chemistry or the need for water there is also a discussion of consciousness based on electromagnetic wave theory references are provided for further readingnick kanas is an emeritus professor of psychiatry at the university of california san francisco where he directed the group therapy training program for over 20 years he conducted research on group therapy and for nearly 20 years after that he was the principal investigator of nasafunded research on astronauts and cosmonauts he is the coauthor of space psychology and psychiatry which won the 2004 international academy of astronautics life science book award and the author of humans in space the psychological hurdles which won the 2016 international academy of astronautics life science book award dr kanas has presented talks on space psychology and on celestial mapping at several regional and worldcon science fiction conventions a fellow of the royal astronomical society london he has been an amateur astronomer for over 50 years and is an avid reader of science fiction he is also the author of two nonfiction books star maps history artistry and cartography and solar system maps from antiquity to the space age and two science fiction novels the new martians and the protos mandate all published by springer,science fiction,2016,nick kanas
christofiction,françois laruelles lifelong project of nonphilosophy or nonstandard philosophy thinks past the theoretical limits of western philosophy to realize new relations between religion science politics and art in christofiction laruelle targets the rigid selfsustaining arguments of metaphysics rooted in judaic and greek thought and the radical potential of christ whose crossing disrupts their circular discourse laruelles christ is not the authoritative figure conjured by academic theology the apostles or the catholic church he is the embodiment of generic man founder of a science of humans and the herald of a gnostic messianism that calls forth an immanent faith explicitly inserting quantum science into religion laruelle recasts the temporality of the cross the entombment and the resurrection arguing that it is god who is sacrificed on the cross so equals in faith may be born positioning itself against orthodox religion and naive atheism alike christofiction is a daring heretical experiment that ties religion to the human experience and the lived world,science fiction,2015,
tales of space and time,a collection of short stories the crystal egg the star a story of the stone age a story of the days to come  the man who could work miracles,science fiction,2016,h g wells
dh lawrence and survival,although darwins ideas about evolution were dominant in dh lawrences day little scholarly work has been done on the influence of these concepts on his work this work argues that lawrence employed ideas based on evolution in his fiction particularly during the transition between his marriage and leadership periods 191922 when he embarked on a major rethinking of the direction of his creative work and that these ideas contributed to the deterioration in his fiction after women in love the book shows that lawrences deliberate use of darwinian elements in his narrative strategy occurred at a time when he was increasingly concerned about survival both personally due to illness and as an artist the result in his fiction is a subtext in which his anxieties are projected onto female characters and the evolution of his writing is frustrated by unresolved emotional conflicts through new readings of the major fiction of lawrences transitional period ronald granofsky demonstrates that lawrences deterioration as a writer and the misogyny of his later work was primarily the result of a deliberate effort on his part to move the ideological yardsticks of his fiction,science fiction,2003,ronald granofsky
nonhuman agencies in the twentyfirstcentury anglophone novel,this book offers an overview on the growing field of nonhuman studies in relation to anglophone novels it illuminates the variety of nonhuman actors that take centre stage in the twentyfirstcentury novel and the formal changes that the anthropocene the digital turn the animal rights movement and research into plant consciousness have brought to the novel as a form the book is divided into four sections each focusing on a different aspect of twentyfirstcentury literature that engages with the nonhuman the collection investigates how the environmental changes and the increasing use of ai technologies have fostered the flourishing of genres like the new weird climate fiction and speculative fiction how it makes us embrace new perceptions of life in relation to genetic engineering and how it forces us to engage with newly emerging political contexts,science fiction,2021,yvonne liebermann judith rahn bettina burger
visions of the future,visions of the future is a collection of stories and essays including nebula and hugo awardwinning works in this anthology youll find stories and essays about artificial intelligence androids fasterthanlight travel and the extension of human life youll read about the future of human institutions and culture but these literary works are more than just a reprisal of the classical elements of science fiction and futurism at their core each of these pieces has one consistent repeated theme us,science fiction,2015,j batt gregory benford david brin joe haldeman hugh howey ben bova allen steele kevin anderson ray kurzweil alan dean foster martin rees jasper scott brenda cooper ramez naam zoltan istvan douglas rushkoff douglas richards robert sawyer james gunn catherine asaro
animals in detective fiction,this book explores the vast array of animals that populate detective fiction if the genre begins as is widely supposed with edgar allan poes murders in the rue morgue 1841 then detective fictions very first culprit is an animal animals moreover consistently appear as victims clues and companions while the abstract conception of animality is closely tied to the idea of criminality although it is often described as an essentially conservative form detective fiction can unsettle the binary of human and animal to intersect with developing concerns in animal studies animal agency the ethical complexities of humananimal interaction the politics and literary aesthetics of violence and animal metaphor gathering its 14 essays into sections on ontologies ethics politics and forms animals in detective fiction provides a compelling and nuanced analysis of the central role creatures play in this enduringly popular and continually morphing literary form,science fiction,2022,ruth hawthorn john miller
in the days of the comet,h g wells in his 1906 in the days of the comet uses the vapors of a comet to trigger a deep and lasting change in humanitys perspective on themselves and the world in the buildup to a great war poor student william leadford struggles against the harsh conditions the lowerclass live under he also falls in love with a middleclass girl named nettie but when he discovers that nettie has eloped with a man of upperclass standing william struggles with the betrayal and in the disorder of his own mind decides to buy a revolver and kill them both all through this a large comet lights the night sky with a green glow bright enough that the street lamps are left unlit,science fiction,2018,h g wells
generation robot,generation robot covers a century of science fiction fact and speculationfrom the 1950 publication of isaac asimovs seminal robot masterpiece i robot to the 2050 singularity when artificial and human intelligence are predicted to merge beginning with a childhood informed by popculture robots in movies in comic books and on tv in the 1960s to adulthood where the possibilities of selfdriving cars and virtual reality are daily conversation terri favro offers a unique perspective on how our relationship with robotics and futuristic technologies has shifted over time peppered with popculture funfacts about supermans kryptonite the humanmachine relationships in the cult tv show firefly and the sexual and moral implications of the film ex machina generation robot explores how the technotriumphs and resulting anxieties of reality bleed into the fantasies of our collective culture clever and accessible generation robot isnt just for the serious scientific readerits for everyone interested in robotics and technology since their sciencefiction origins by looking back at the future she once imagined analyzing the pluggedin present and speculating on what is on the horizon terri favro allows readers the chance to consider what was what is and what could be this is a captivating book that looks at the popculture of our society to explain how the world worksnow and tomorrow,science fiction,2018,terri favro
law fiction and activism in a time of climate change,narrating climate change  climate catastrophism and legal aporia  telling the tale of the children  the narrative of rights on a warming planet  wild time  beyond reason beyond rules  the sense of an ending,science fiction,2019,nicole rogers
science fiction and the moral imagination,in this highly original book russell blackford discusses the intersection of science fiction and humanitys moral imagination with the rise of science and technology in the 19th century and our continually improving understanding of the cosmos writers and thinkers soon began to imagine futures greatly different from the present science fiction was born out of the realization that future technoscientific advances could dramatically change the world along with the developments described in modern science fiction  space societies conscious machines and upgraded human bodies to name but a few  come a new set of ethical challenges and new forms of ethics blackford identifies these issues and their reflection in science fiction his fascinating book will appeal to anyone with an interest in philosophy or science fiction or in how they interact this is a seasoned balanced analysis of a major issue in our thinking about the future seen through the lens of science fiction a central art of our time everyone from humanists to technologists should study these ideas and examples blackfords book is wise and savvy and a delight to read as well greg benford author of timescape,science fiction,2017,russell blackford
the architecture of the imagination,the architecture of the imagination will be an essential resource for the growing number of philosophers and psychologists studying the nature of the imagination and on its role in philosophy aesthetics and everyday life,science fiction,2006,shaun nichols
ecofacts and ecofiction,ozonefriendly recyclable zerowaste elimination of toxic chemicals  such environmental ideals are believed to offer solutions to the environmental crisis where do these ideals come from is the environmental debate communicating the right problems ecofacts and ecofiction examines serious errors in perceptions about human and environmental health drawing on a wealth of everyday examples of local and global concerns the author explains basic concepts and observations relating to the environment removing fear of science and technology and eliminating wrong perceptions lead to a more informed understanding of the environment as a science a philosophy and a lifestyle by revealing the flaws in todays environmental vocabulary this book stresses the urgent need for a common language in the environmental debate such a common language encourages the effective communication between environmental science and environmental decisionmaking that is essential for finding solutions to environmental problems,science fiction,2013,william h baarschers
the world set free,in the world set free hg wells takes a science fictional look at the future where if world peace is to be attained through labour internationalism it will have to be at the price of complete social and economic reconstruction but first comes a phase of revolution  violent very bloody and prolonged which in the end may fail to achieve anything but social destruction    the world set free is a vision of highly educated and highly favoured leading and ruling men voluntarily setting themselves to the task of reshaping the world,science fiction,2018,h g wells
hellhounds of the cosmos,hellhounds of the cosmos by clifford donald simak,science fiction,2017,clifford donald simak
fighting the future war,the period between world war i and world war ii was one of intense change everything was modernizing including our technology for making warwitness machine guns trench warfare biological agents and ultimately the final solution this modernization and eye toward the future was reflected in many facets of pop culture including fashion homewear design and the popular literature of the time in scifi a specific genre emergedthat of the future war fred krome has collected many of these future war stories together for the first time in fighting the future war bolstered by a comprehensive introduction and introduced with historical information about both the authors of the stories and the historical time period these stories provide a view into the field of pulp science fiction writing the issues that informed the time period between the world wars and the way people envisioned the wars of tomorrow revealing anxieties about society technology race and politics the genre of the future war story is important material for students of history and literature,science fiction,2012,frederic krome
ten billion tomorrows,an exciting new book about reallife technology derived from science fiction and its impact on the world,science fiction,2015,brian clegg
the edges of the earth in ancient thought,the edges of the earth became the basis of a literary tradition surveyed here revealing that the greeks and to a somewhat lesser extent the romans saw geography not as a branch of physical science but as an important literary genre,science fiction,1994,james s romm
flatland,classic of science and mathematical fiction  charmingly illustrated by the author  describes the adventures of a square a resident of flatland in spaceland three dimensions lineland one dimension and pointland no dimensions,science fiction,1976,edwin abbott abbott
the call of the ecoweird in fiction films and games,this edited volume identifies and analyses the ecoweird as an interdisciplinary theoretical tool for engaging in fictional philosophical filmic and ludic texts it is the first volume to engage in the study of the ecoweird which is a developing field at the intersection of environmental thought and weird fiction broadly construed to include literature games films art and television shows the ecoweird has intersections with other literary and scholarly fields including horror studies game studies phenomenology literary criticism and ecocriticism but provides a unique set of tools to engage both its texts and the ongoing environmental crises of climate change environmental justice pollution and more,science fiction,2025,brian hisao onishi nathan m bell
time machine tales,this book contains a broad overview of time travel in science fiction along with a detailed examination of the philosophical implications of time travel the emphasis of this book is now on the philosophical and on science fiction rather than on physics as in the authors earlier books on the subject in that spirit there are for example no tech notes filled with algebra integrals and differential equations as there are in the first and second editions of time machines writing about time travel is today a respectable business it hasnt always been so after all time travel prima facie appears to violate a fundamental law of nature every effect has a cause with the cause occurring before the effect time travel to the past however seems to allow indeed to demand backwards causation with an effect the time traveler emerging into the past as he exits from his time machine occurring before its cause the time traveler pushing the start button on his machines control panel to start his trip backward through time time machine tales includes new discussions of the advances by physicists and philosophers that have appeared since the publication of time machines in 1999 examples of which are the chapters on time travel paradoxes those chapters have been brought uptodate with the latest philosophical thinking on the paradoxes,science fiction,2016,paul j nahin
the time machine hypothesis,every age has characteristic inventions that change the world in the 19th century it was the steam engine and the train for the 20th electric and gasoline power aircraft nuclear weapons even ventures into space today the planet is awash with electronic business chatter and virtualreality entertainment so brilliant that the division between real and simulated is hard to discern but one new idea from the 19th century has failed so far to enter realitytime travel using machines to turn the time dimension into a twoway highway will it come true as foreseen in science fiction might we expect visits to and from the future sooner than from space that is the time machine hypothesis examined here by futurist damien broderick an awardwinning writer and theorist of the genre of the future broderick homes in on the topic through the lens of science as well as fiction exploring some fifty different timetravel scenarios and conundrums found in the science fiction literature and film,science fiction,2019,damien broderick
the eruption of mount st helens,a contentbased fiction booksciencecover p 1,science fiction,2007,rebecca l johnson
out of the everywhere,topics include astronomy humanity radiation magnetism fuel and time,science fiction,1990,isaac asimov
quantum shorts,this book presents winning and shortlisted stories from past editions of the international quantum shorts competition inspired by the weird and wonderful world of quantum physics the shorts range from bold imaginings of a quantum future to contemplations rooted in the everyday they feature characters of all sorts lovers beginning their lives together an atom having an existential crisis and of course cats these quantum shorts will unleash in your mind a multiverse of ideas,science fiction,2019,michael brooks jenny hogan puah xin yi
novel science,novel science is the first indepth study of the shocking groundbreaking and sometimes beautiful writings of the gentlemen of the heroic age of geology and of the contribution these men made to the literary culture of their day for these men literature was an essential part of the practice of science itself as important to their efforts as mapmaking fieldwork and observation the reading and writing of imaginative literatures helped them to discover imagine debate and give shape and meaning to millions of years of previously undiscovered earth history borrowing from the historical fictions of walter scott and the poetry of lord byron they invented geology as a science discovered many of the creatures we now call the dinosaurs and were the first to unravel and map the sequence and structure of stratified rock as adelene buckland shows they did this by rejecting the grand narratives of older theories of the earth or of biblical cosmogony theirs would be a humble science faithfully recording minute details and leaving the big picture for future generations to paint buckland also reveals how these scientistsjust as they had drawn inspiration from their literary predecessorsgave victorian realist novelists such as george eliot charles kingsley and charles dickens a powerful language with which to create dark and disturbing ruptures in the tooseductive sweep of story,science fiction,2013,adelene buckland
fantastic voyages,by revealing the facts behind the fiction of some of the finest films in the scifi genre fantastic voyages offers a novel approach to teaching science using scenes from science fiction films to illustrate fundamental concepts of physics astronomy and biology,science fiction,2006,leroy w dubeck suzanne e moshier judith e boss
holy scifi,can a computer have a soul are religion and science mutually exclusive is there really such a thing as free will if you could time travel to visit jesus would you and should you for hundreds of years philosophers scientists and science fiction writers have pondered these questions and many more in holy scifi popular writer paul nahin explores the fertile and sometimes uneasy relationship between science fiction and religion with a scope spanning the history of religion philosophy and literature nahin follows religious themes in science fiction from feynman to foucault and from asimov to aristotle an intriguing journey through popular and wellloved books and stories holy scifi shows how scifi has informed humanitys attitudes towards our faiths our future and ourselves,science fiction,2014,paul j nahin
